RegEx: null
PASSED: a
PASSED: b
PASSED: c
PASSED: aa
PASSED: ab
PASSED: ac
FAILED: ba
PASSED: bb
PASSED: bc
FAILED: ca
FAILED: cb
PASSED: cc
PASSED: abc
PASSED: aabc
PASSED: abbc
FAILED: acbc
FAILED: abac
PASSED: abbc
PASSED: abcc
FAILED: abca
FAILED: abcb
PASSED: abcc
FAILED: aabac
PASSED: aabbc
PASSED: aabcc
FAILED: aabca
FAILED: aabcb
PASSED: aabcc
FAILED: abbac
PASSED: abbbc
PASSED: abbcc
FAILED: abbca
FAILED: abbcb
PASSED: abbcc
FAILED: acbac
FAILED: acbbc
FAILED: acbcc
FAILED: acbca
FAILED: acbcb
FAILED: acbcc
FAILED: aabac
FAILED: abbac
FAILED: acbac
FAILED: abaca
FAILED: abacb
FAILED: abacc
PASSED: aabbc
PASSED: abbbc
FAILED: acbbc
FAILED: abbca
FAILED: abbcb
PASSED: abbcc
PASSED: aabcc
PASSED: abbcc
FAILED: acbcc
FAILED: abcca
FAILED: abccb
PASSED: abccc
FAILED: aabca
FAILED: abbca
FAILED: acbca
FAILED: abaca
FAILED: abbca
FAILED: abcca
FAILED: aabcb
FAILED: abbcb
FAILED: acbcb
FAILED: abacb
FAILED: abbcb
FAILED: abccb
PASSED: aabcc
PASSED: abbcc
FAILED: acbcc
FAILED: abacc
PASSED: abbcc
PASSED: abccc
FAILED: abcabc
PASSED: aabbcc
PASSED: aaa
PASSED: bbb
PASSED: ccc

